ticker,year,cc_expo,op_expo,rg_expo,ph_expo,cc_pos,cc_neg,cc_sent,cc_risk,n_quarters
BA,2022,0.00046187660346661664,0.0,0.0,0.0,0.0001565335398285464,-0.00014880952380952382,7.724016019022584e-06,7.440476190476191e-05,4
BA,2023,0.0003647639483552796,0.0,9.549274255156608e-05,0.0,0.0,-0.00019295862949113724,-0.00019295862949113724,0.0,4
BA,2024,0.00036274765796673845,0.00010056315366049879,0.0,0.0,0.00017315316527490065,0.0,0.00017315316527490065,0.0,4
CAT,2022,0.002892899968895944,0.0014008210736434553,0.00024222509478198802,0.0,0.000989483831678924,-0.00018057272539196326,0.0008089111062869607,5.302226935312831e-05,4
CAT,2023,0.002426384996610674,0.0004497492571962484,0.00012599117712754076,6.297229219143577e-05,0.0007647039036427657,0.0,0.0007647039036427657,0.0,4
CAT,2024,0.004864479960738891,0.00224307674598575,6.174364040503828e-05,0.0,0.0020058860795913783,-0.0007634248893327353,0.0012424611902586433,0.0,4
CVX,2008,0.0005827189917013182,0.0,8.620689655172413e-05,0.0,0.0,-8.620689655172413e-05,-8.620689655172413e-05,0.0,4
CVX,2009,0.0003233285165831451,0.0,0.0,0.0,7.396449704142012e-05,-0.0001646756726582561,-9.0711175616836e-05,7.396449704142012e-05,4
CVX,2010,0.0015086902967021878,0.00024723972092393146,0.00016891891891891893,0.0,0.0005030724710169522,-0.0004081778395185012,9.489463149845104e-05,8.261731658955717e-05,4
CVX,2011,0.0013479917836250012,0.00015895202026831363,0.00015413070283600493,0.0,0.0003914070356932078,0.0,0.0003914070356932078,0.0,4
CVX,2012,0.00127070278443323,0.0,0.0,0.0,0.0005490483162518302,0.0,0.0005490483162518302,0.0,4
CVX,2013,0.0011278313011657936,0.0,0.0,0.0,0.0003624233709187848,-0.0001786352268667381,0.0001837881440520467,0.0,4
CVX,2014,0.0005399542858553394,9.900990099009902e-05,0.0,0.0,0.00023114520754401023,-9.900990099009902e-05,0.0001321353065539112,0.0,4
CVX,2015,0.0007390040789045791,0.0,6.806425265450586e-05,0.0,0.00017018379850238256,-0.0003027641801891465,-0.00013258038168676394,6.451612903225807e-05,4
CVX,2016,0.00027723950870263544,0.0,0.0,0.0,0.0,0.0,0.0,7.739938080495357e-05,4
CVX,2017,0.000786215299877424,0.00035165953308052307,0.0,0.0,0.0002830347732671825,0.0,0.0002830347732671825,7.4360499702558e-05,4
CVX,2018,0.0015354184487524657,0.00031447462688385247,0.0002286524504334577,0.0,0.0009257134752966734,-0.00034734886170141593,0.0005783646135952576,0.0002663115845539281,4
CVX,2019,0.005195815862465894,0.001996708001741481,0.0007504195014761898,0.0,0.001683307661804806,-0.00032643109698936133,0.0013568765648154448,9.307520476545048e-05,4
CVX,2020,0.008096399018694474,0.0020904754292403716,0.0013640573422296054,0.0,0.002042123815578156,-0.0012512036892323418,0.0007909201263458143,0.00022787043641898865,4
CVX,2021,0.008302817323586325,0.0014074398344620183,0.001184043869538868,0.0,0.0023410509357256475,-0.0006370313038722177,0.0017040196318534298,0.0,4
CVX,2022,0.005439982233080218,0.0022090541675292646,7.22334585379948e-05,0.0,0.001350922265954576,-0.00047887782163154693,0.000872044444323029,0.0002347318050506152,4
CVX,2023,0.0032395083823181727,0.001255663606504267,8.62663906142167e-05,0.0,0.0011629773914722482,-0.0004064881077057226,0.0007564892837665256,0.000568615215358122,4
CVX,2024,0.0035308728747309643,0.0016434401906802137,0.000367205898989068,0.0,0.001059338797487333,-0.00031539232847844193,0.0007439464690088911,6.896551724137931e-05,4
DUK,2022,0.01399334937443422,0.009181893234661447,0.000292798892687824,0.0,0.005267362697382646,-0.0015583051280850474,0.0037090575692975986,0.00038191805550198536,4
DUK,2023,0.009937548722896112,0.00474155746954192,0.0,0.0,0.002890818470253742,-0.001430206511555213,0.001460611958698529,0.00012742099898063202,4
DUK,2024,0.009426488216019649,0.004546531665734334,0.0003301770290307922,9.242144177449168e-05,0.002377866030839237,-0.0011584480282352335,0.0012194180026040037,0.0,4
F,2022,0.004959779358894978,0.002634977044488092,7.566585956416465e-05,8.383635144198524e-05,0.002281457785697956,-0.0013376342340435969,0.000943823551654359,0.0005245591368099888,4
F,2023,0.005723451642666924,0.0034172387839021103,8.454514710855597e-05,0.0,0.002105734074554781,-0.0005022686519070651,0.001603465422647716,0.00024477906200397236,4
F,2024,0.006337859105965109,0.0035648218512036286,0.00036023054755043225,0.0,0.002170436329563999,-0.0007969345004135771,0.001373501829150422,0.0002421780268482202,4
GM,2022,0.005071600723489698,0.0025073779069827804,0.0,0.000194378009733579,0.0027700448943049558,-0.0003874695686406985,0.0023825753256642573,0.0003247519232049972,4
GM,2023,0.005907532173979797,0.002976719774152626,6.551362683438155e-05,0.00018809269033033643,0.002513412399748746,-0.0008282808043004962,0.0016851315954482496,6.405329233922624e-05,4
GM,2024,0.006204720869336948,0.0032240645162018773,0.0,0.00013408420488066506,0.0026175956791869774,-0.0006516770826828553,0.001965918596504122,0.0,4
JPM,2022,0.00024039037134287967,8.077544426494346e-05,0.0,0.0,0.0,-7.883948281299275e-05,-7.883948281299275e-05,0.0,4
JPM,2023,0.0005120475958180171,0.00022039473684210524,0.0,0.0,0.0,-0.00015529795754708203,-0.00015529795754708203,0.00022453516138141012,4
JPM,2024,6.613756613756614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
KO,2022,0.0008821258683195947,7.333528894103843e-05,0.00014667057788207686,0.0,0.00044181234336084955,-7.333528894103843e-05,0.0003684770544198111,0.0,4
KO,2023,0.0005926722455511166,0.00015271838729383018,0.0,0.0,0.00022907758094074527,-0.0001436177354817281,8.545984545901716e-05,0.0,4
KO,2024,0.0004950566372285523,0.0,0.0,0.0,7.116424708226587e-05,0.0,7.116424708226587e-05,0.0,4
MSFT,2022,0.0006688614857428265,0.0003607914709793319,6.2266500622665e-05,0.0,0.0,-5.988023952095808e-05,-5.988023952095808e-05,0.0,4
MSFT,2023,0.0006644589034589635,0.0001214814211481846,0.00011821514110592926,0.0,0.0001199616122840691,-5.998080614203455e-05,5.998080614203455e-05,5.998080614203455e-05,4
MSFT,2024,0.00018714784744806696,6.3403499873193e-05,0.0,0.0,0.0,0.0,0.0,0.0,4
NEE,2022,0.02374075193758622,0.0140292945888253,0.001491548044910841,0.0,0.012089616664144504,-0.002274425784999746,0.00981519087914476,0.0011685596966274667,4
