symbol,isin,quarter,status,words,note
XOM,US30231G1022,2024Q1,ok,6224,4 turns
XOM,US30231G1022,2024Q2,ok,7287,62 turns
XOM,US30231G1022,2024Q3,ok,9233,70 turns
XOM,US30231G1022,2024Q4,ok,9090,59 turns
CVX,US1667641005,2024Q1,ok,4671,55 turns
CVX,US1667641005,2024Q2,ok,7166,59 turns
CVX,US1667641005,2024Q3,ok,9185,45 turns
CVX,US1667641005,2024Q4,ok,9116,72 turns
NEE,US65339F1012,2024Q1,ok,7564,40 turns
NEE,US65339F1012,2024Q2,ok,8556,53 turns
NEE,US65339F1012,2024Q3,ok,7681,46 turns
NEE,US65339F1012,2024Q4,ok,8083,55 turns
DUK,US26441C2044,2024Q1,ok,4992,44 turns
DUK,US26441C2044,2024Q2,ok,5479,47 turns
DUK,US26441C2044,2024Q3,ok,6412,81 turns
DUK,US26441C2044,2024Q4,ok,6439,79 turns
GM,US37045V1008,2024Q1,ok,8993,76 turns
GM,US37045V1008,2024Q2,fail,0,We have detected your API key as CZEB4KD0UEE9XUCY and our standard API rate limit is 25 requests per day. Please subscri
XOM,US30231G1022,2022Q1,fail,0,We have detected your API key as CZEB4KD0UEE9XUCY and our standard API rate limit is 25 requests per
XOM,US30231G1022,2022Q1,fail,0,all AV keys exhausted
XOM,US30231G1022,2022Q1,ok,8023,61 turns
