ticker,industry,year,cc_expo,op_expo,rg_expo,ph_expo
BA,Aerospace,2022,0.00046187660346657495,0.0,0.0,0.0
BA,Aerospace,2023,0.00036476394835525,0.0,9.549274255155e-05,0.0
BA,Aerospace,2024,0.00036274765796669997,0.000100563153660475,0.0,0.0
CAT,Machinery,2022,0.002892899968895875,0.001400821073643425,0.00024222509478197499,0.0
CAT,Machinery,2023,0.002426384996610625,0.000449749257196175,0.000125991177127525,6.2972292191425e-05
CAT,Machinery,2024,0.004864479960738825,0.0022430767459857,6.1743640405025e-05,0.0
CVX,Energy,2008,0.00058271899170125,0.0,8.62068965517e-05,0.0
CVX,Energy,2009,0.0003233285165831,0.0,0.0,0.0
CVX,Energy,2010,0.001508690296702125,0.0002472397209239,0.0001689189189189,0.0
CVX,Energy,2011,0.0013479917836249499,0.0001589520202683,0.000154130702836,0.0
CVX,Energy,2012,0.0012707027844332,0.0,0.0,0.0
CVX,Energy,2013,0.00112783130116575,0.0,0.0,0.0
CVX,Energy,2014,0.000539954285855275,9.9009900990075e-05,0.0,0.0
CVX,Energy,2015,0.000739004078904525,0.0,6.80642526545e-05,0.0
CVX,Energy,2016,0.000277239508702625,0.0,0.0,0.0
CVX,Energy,2017,0.0007862152998774,0.00035165953308050003,0.0,0.0
CVX,Energy,2018,0.0015354184487524,0.000314474626883825,0.00022865245043345,0.0
CVX,Energy,2019,0.00519581586246585,0.00199670800174145,0.000750419501476175,0.0
CVX,Energy,2020,0.008096399018694425,0.002090475429240325,0.001364057342229575,0.0
CVX,Energy,2021,0.008302817323586275,0.001407439834461975,0.001184043869538825,0.0
CVX,Energy,2022,0.00543998223308015,0.002209054167529175,7.2233458537975e-05,0.0
CVX,Energy,2023,0.0032395083823181254,0.0012556636065042,8.62663906142e-05,0.0
CVX,Energy,2024,0.003530872874730925,0.00164344019068015,0.00036720589898905,0.0
DUK,Utilities,2008,0.01256976995003115,0.003804649052030175,0.0013045237906436,8.2481029363225e-05
DUK,Utilities,2009,0.0109836685065837,0.0032336886826737497,0.0012281491174767,7.487271638215e-05
DUK,Utilities,2010,0.008657331860368826,0.001855441757220525,0.000849093948269225,0.0
DUK,Utilities,2011,0.009258858743044374,0.0025276217651772253,0.0013041963820769,0.0
DUK,Utilities,2012,0.005144674337551275,0.001245706725559975,0.000251633763992625,0.0
DUK,Utilities,2013,0.005787376743500875,0.000772578832537675,0.00026694499332050004,6.303580433685e-05
DUK,Utilities,2014,0.00923088491900455,0.0027228304301368748,0.0011338830912273501,6.537656903765e-05
DUK,Utilities,2015,0.009119297927051049,0.00170467691458795,0.000630036454364375,0.0
DUK,Utilities,2016,0.0157746184685475,0.00815025339558565,0.0009913488407614249,0.0
DUK,Utilities,2017,0.015039873040181801,0.00674764923600865,0.0008928184543999,8.0801551389775e-05
DUK,Utilities,2018,0.0090357976297694,0.0036134790042779003,0.000271739130434775,0.0
DUK,Utilities,2019,0.0168014471875893,0.00785927812715505,0.001228417080236,0.0
DUK,Utilities,2020,0.0167295094114767,0.010567415871331825,0.0008821614784302,0.0
DUK,Utilities,2021,0.02878330596400375,0.017014605871409974,0.00112810152111285,0.0
DUK,Utilities,2022,0.013993349374434149,0.0091818932346614,0.0002927988926878,0.0
DUK,Utilities,2023,0.009937548722896074,0.0047415574695418745,0.0,0.0
DUK,Utilities,2024,0.0094264882160196,0.0045465316657343005,0.000330177029030775,9.2421441774475e-05
F,Autos,2022,0.004959779358894925,0.00263497704448805,7.566585956415e-05,8.3836351441975e-05
F,Autos,2023,0.0057234516426668495,0.00341723878390205,8.454514710855e-05,0.0
F,Autos,2024,0.006337859105965075,0.003564821851203575,0.000360230547550425,0.0
GM,Autos,2022,0.00507160072348965,0.002507377906982725,0.0,0.00019437800973355
GM,Autos,2023,0.005907532173979725,0.002976719774152575,6.5513626834375e-05,0.000188092690330325
