doc,real,scrambled,sent_shuffled
UNH_2013Q4,0.0005670541536716756,0.0002809778027535825,0.0005670541536716756
CVX_2009Q2,0.0,0.0,0.0
BA_2020Q4,0.0029545454545454545,0.0009031384059607134,0.0029545454545454545
F_2020Q4,0.014145141451414513,0.005511328842620943,0.014145141451414513
D_2023Q1,0.00716674629718108,0.0052606408417025345,0.00716674629718108
D_2011Q3,0.0038774718883288098,0.003071017274472169,0.0038774718883288098
CVX_2023Q3,0.0026578073089701,0.0012578616352201257,0.0026578073089701
COP_2022Q4,0.006066411238825032,0.0015422578655151142,0.006066411238825032
WMT_2014Q2,0.0,0.0013351134846461949,0.0
OXY_2016Q1,0.0,0.00025031289111389235,0.0
COP_2015Q1,0.0,0.0,0.0
PFE_2020Q2,0.0,0.0,0.0
KO_2025Q1,0.0,0.0,0.0
BA_2024Q2,0.00035612535612535614,0.0006942034015966678,0.00035612535612535614
BA_2023Q2,0.0,0.0003448275862068965,0.0
COP_2018Q2,0.0003076923076923077,0.00029859659599880563,0.0003076923076923077
D_2009Q1,0.006559958016268696,0.004106776180698152,0.006559958016268696
D_2016Q3,0.009345794392523364,0.0039198606271777,0.009345794392523364
NEE_2014Q4,0.013372093023255814,0.009529481834425254,0.013372093023255814
SO_2007Q3,0.005909090909090909,0.004117108874656907,0.005909090909090909
BA_2021Q3,0.001658374792703151,0.001633097441480675,0.001658374792703151
OXY_2024Q2,0.0015610365282547611,0.0012433944668946222,0.0015610365282547611
DUK_2018Q3,0.007905138339920948,0.0038348082595870206,0.007905138339920948
XOM_2015Q4,0.0,0.0010601643254704478,0.0
UNH_2019Q1,0.0004664179104477612,0.0002315886984715146,0.0004664179104477612
XOM_2008Q1,0.0006800408024481469,0.0006720430107526882,0.0006800408024481469
KO_2023Q4,0.0005380683346785041,0.0,0.0005380683346785041
D_2010Q1,0.007454739084132056,0.004259850905218318,0.007454739084132056
MMM_2020Q3,0.0009932952570151478,0.0,0.0009932952570151478
PFE_2019Q3,0.0,0.0003307972213033411,0.0
