doc,real,null_mean,null_sd,z,p
UNH_2013Q4,0.0005670541536716756,0.0002009295326939548,0.00023742204233046923,1.5420835293300599,0.05970149253731343
BA_2020Q4,0.0029545454545454545,0.0008354030255136601,0.00039945373702763903,5.305101023213526,0.004975124378109453
F_2020Q4,0.014145141451414513,0.005691977954684628,0.001186319450406004,7.12553730265224,0.004975124378109453
D_2023Q1,0.00716674629718108,0.005750758051670045,0.0015993160017036439,0.8853711486677291,0.18407960199004975
D_2011Q3,0.0038774718883288098,0.0036429942418426103,0.001078954347505977,0.21731933981099288,0.3482587064676617
CVX_2023Q3,0.0026578073089701,0.0010156120564797427,0.0005416304140813997,3.0319480032809927,0.004975124378109453
COP_2022Q4,0.006066411238825032,0.002052739512218506,0.0007470643147255211,5.372591954256561,0.004975124378109453
BA_2024Q2,0.00035612535612535614,0.0004477611940298508,0.00039360475819963847,-0.23281181437856618,0.3681592039800995
COP_2018Q2,0.0003076923076923077,0.0001522824812931461,0.00019348557432871533,0.8032114380534318,0.07960199004975124
D_2009Q1,0.006559958016268696,0.004049024640657084,0.0009223967165061559,2.7221837748105804,0.009950248756218905
D_2016Q3,0.009345794392523364,0.003569211052440769,0.0012792668314708523,4.515542182424053,0.004975124378109453
NEE_2014Q4,0.013372093023255814,0.008932385609957585,0.0014255294999127545,3.1144268944065683,0.004975124378109453
SO_2007Q3,0.005909090909090909,0.003243290532804047,0.0011150978019563663,2.390642660769207,0.03482587064676617
BA_2021Q3,0.001658374792703151,0.0007321720195971693,0.0004332669718197906,2.1377183892318903,0.024875621890547265
OXY_2024Q2,0.0015610365282547611,0.0013304320795772457,0.0006609901826547473,0.34887726736172453,0.2935323383084577
DUK_2018Q3,0.007905138339920948,0.004473451327433629,0.00103907586287572,3.3026337489833217,0.004975124378109453
UNH_2019Q1,0.0004664179104477612,0.0002339037811426208,0.00021846750693259466,1.0642961627098149,0.07960199004975124
XOM_2008Q1,0.0006800408024481469,0.0009609633771633007,0.000538693562501636,-0.5214886426534949,0.5522388059701493
KO_2023Q4,0.0005380683346785041,0.00036379389736256485,0.0003040816463503522,0.5731172512633216,0.15422885572139303
D_2010Q1,0.007454739084132056,0.003157523848367435,0.0017766406723684445,2.4187306429476205,0.01990049751243781
MMM_2020Q3,0.0009932952570151478,0.00016515021710939066,0.00017813316712706148,4.649022151585311,0.004975124378109453
F_2022Q2,0.004024144869215292,0.002942143231104727,0.000961873875471445,1.1248893079461606,0.12437810945273632
BA_2011Q2,0.0002931691586045148,0.0004193352034920933,0.00037023177763420437,-0.34077583964775926,0.39303482587064675
DAL_2016Q2,0.0003374957813027337,0.00044602371546756294,0.00040004476412493835,-0.27128947532215364,0.39800995024875624
XOM_2006Q2,0.0044444444444444444,0.0015170079295363655,0.0006917142520413256,4.232147170986992,0.004975124378109453
KO_2025Q2,0.0002957704821058858,0.00015260540188220635,0.00020136938682384603,0.7109575218050271,0.1044776119402985
HON_2019Q1,0.0016456390565002743,0.00038006888473996354,0.0002998587642150653,4.220554216826612,0.004975124378109453
DAL_2014Q2,0.0005323396326856535,0.00044910418794329984,0.0003364005560113559,0.24742956946701317,0.22388059701492538
D_2007Q2,0.004071661237785016,0.003570253569684482,0.0011992422300376971,0.418103745466646,0.26865671641791045
HON_2017Q2,0.0012403870007442323,0.0008427809224258786,0.0004090629094053402,0.9719924959619499,0.23880597014925373
COP_2017Q4,0.002036067481093659,0.0005515344528083381,0.0004181501109576559,3.5502394699487545,0.004975124378109453
