ticker,industry,year,cc_expo,op_expo,rg_expo,ph_expo
BA,Aerospace,2009,8.9126559714775e-05,0.0,8.9126559714775e-05,0.0
BA,Aerospace,2011,0.000421798820752475,6.39549756971e-05,0.0,0.0
BA,Aerospace,2012,0.001090139463593875,0.00022702520041370002,0.00019645863453085,0.0
BA,Aerospace,2013,0.000752091349422675,6.0635459616775e-05,6.0635459616775e-05,0.0
BA,Aerospace,2014,0.0005989356058661,8.074935400515e-05,0.0,0.0
BA,Aerospace,2015,0.00022646894698920002,8.6236633321825e-05,0.0,0.0
BA,Aerospace,2016,0.000279434157186675,0.0,0.0,0.0
BA,Aerospace,2017,0.00010785826135035001,5.599104143335e-05,0.0,0.0
BA,Aerospace,2018,0.000221419360038075,0.0,0.0,0.0
BA,Aerospace,2019,0.00033218562186037497,0.0,0.0,0.0
BA,Aerospace,2020,0.001615721768462275,0.00011363636363635,0.000224415262052825,0.0
BA,Aerospace,2021,0.00164106335979415,0.0,0.000633585079446175,0.0
BA,Aerospace,2022,0.00046187660346657495,0.0,0.0,0.0
BA,Aerospace,2023,0.00036476394835525,0.0,9.549274255155e-05,0.0
BA,Aerospace,2024,0.00036274765796669997,0.000100563153660475,0.0,0.0
BA,Aerospace,2025,0.000323773541335225,0.0,0.0,0.0
CAT,Machinery,2008,0.0005711012694542749,0.000212921237419275,0.0,0.0
CAT,Machinery,2009,0.0007546530353804,0.000389154372492075,0.0,0.0
CAT,Machinery,2010,0.001323602231946475,0.00048474702324675,0.000169664065151,0.0
CAT,Machinery,2011,0.000273800902127175,7.6499388004875e-05,0.0,0.0
CAT,Machinery,2012,0.0006685089708581,0.000296306701579625,0.0,0.0
CAT,Machinery,2013,0.00071582260046205,7.86658275645e-05,0.0,0.0
CAT,Machinery,2014,0.0014408258683402,0.00024851530510455,8.3333333333325e-05,0.0
CAT,Machinery,2015,0.001937254281162975,0.00060009442150165,0.00011457378551785,0.0
CAT,Machinery,2016,0.001181749467521675,0.00088067787001475,8.311170212765e-05,0.0
CAT,Machinery,2017,0.000215332131040675,0.0,0.0,0.0
CAT,Machinery,2018,0.00026831390093195,0.0,0.0,0.0
CAT,Machinery,2019,0.00067291463412395,0.000209008107081925,0.000202541428531825,0.0
CAT,Machinery,2020,0.0025198299840522003,0.00106827227862925,0.00025083218565055,0.0
CAT,Machinery,2021,0.00437289439571365,0.0007205184958231001,0.00090728310405795,0.0
CAT,Machinery,2022,0.002892899968895875,0.001400821073643425,0.00024222509478197499,0.0
CAT,Machinery,2023,0.002426384996610625,0.000449749257196175,0.000125991177127525,6.2972292191425e-05
CAT,Machinery,2024,0.004864479960738825,0.0022430767459857,6.1743640405025e-05,0.0
CAT,Machinery,2025,0.0012152724477296501,0.0003780993034475,0.0,0.0
COP,Energy,2008,0.0007795623325567,0.00016479894528675,0.0,0.0
COP,Energy,2009,0.001661062001141075,0.000107619457597925,0.000107619457597925,0.0
COP,Energy,2010,0.00020658963637809998,0.0,0.0,0.0
COP,Energy,2011,0.000388441713833725,0.00010133765707335,8.05152979066e-05,0.0
COP,Energy,2012,6.40368852459e-05,0.0,0.0,0.0
COP,Energy,2013,0.000443335120834275,7.221259387635e-05,0.0,0.0
COP,Energy,2014,0.0003601652657256,7.09018718094e-05,0.0,0.0
COP,Energy,2015,0.000194058264950475,0.0,0.0,0.0
COP,Energy,2016,0.000139703827884875,0.0,0.0,0.0
COP,Energy,2017,0.0005904500950291,0.0,0.0003635834787667,0.0
COP,Energy,2018,0.000234562386658075,7.6923076923075e-05,0.0,0.0
COP,Energy,2019,0.00079380383778425,9.4948727687025e-05,0.00020358306188925,0.0
