baseline,no_stopword_removal,no_lemmatisation
0.008173618940248028,0.0020002667022269638,0.005534517914360618
0.00035423308537017357,0.00015513496742165683,0.00037257824143070045
0.0,0.0,0.0
0.0,0.0,0.0
0.017664670658682633,0.004770992366412214,0.011121130147279832
0.0,0.0,0.0
0.0,0.0,0.0
0.0043782837127845885,0.001009845998485231,0.001189767995240928
0.0005439216752787598,0.000120598166907863,0.0
0.0005797101449275362,0.00012181751735899622,0.0005913660555884093
0.0007639419404125286,0.00016149870801033592,0.0
0.006105006105006105,0.002408348943002408,0.00426829268292683
0.002803738317757009,0.0006439979392065945,0.001188707280832095
0.005628976994615761,0.0018301610541727673,0.002531004808909137
0.0004476275738585497,0.0,0.0
0.00026609898882384245,0.00011195700850873264,0.0
0.004158669225847729,0.0012658227848101266,0.002221516978736909
0.0007784120394395433,0.00035104142288790077,0.0007686395080707148
0.00027419797093501506,0.0,0.0
0.0011922503725782414,0.0,0.0005817335660267597
0.013567684242984891,0.0041571100917431195,0.007851758793969849
0.015343562374916611,0.003432323533800925,0.005084745762711864
0.0036054596961112542,0.0008278145695364238,0.0026462026991267533
0.0006462035541195477,0.0,0.0003147623544224111
0.0006527415143603133,0.0,0.0007012622720897616
0.002342606149341142,0.0008540925266903915,0.0012044564890093346
0.006406970784213224,0.00183982683982684,0.004365690806368772
0.00576008014024543,0.0011267605633802818,0.0022670025188916876
0.00021630975556997622,0.0,0.00022376370552696352
0.01857815209313847,0.006108656095658955,0.009580528223718281
0.003386004514672686,0.0,0.0011737089201877935
0.0003333333333333333,0.00014467592592592592,0.0003324468085106383
0.00026041666666666666,0.00012970168612191958,0.0002690341673392521
0.0003898635477582846,0.0,0.0003935458480913026
0.0,0.0,0.0
0.0003763643206624012,0.0,0.0003885003885003885
0.0002595380223202699,0.00011334013374135781,0.0
0.0002726281352235551,0.0001222195062331948,0.0
0.014566642388929352,0.00441934691873312,0.010681586978636826
0.007866273352999017,0.0021648145475537594,0.005389019872010778
0.00038387715930902113,0.0,0.0003944773175542406
0.0,0.0,0.0
0.0037840565085771947,0.0011941724385001193,0.002300025555839509
0.0013268465280849183,0.00029515938606847696,0.00022007042253521127
0.0010668563300142249,0.00031377470975839345,0.0007382798080472499
0.0005380683346785041,0.0,0.0002720348204570185
0.00025412960609911054,0.0,0.0
0.001832172957127153,0.0003059507419305492,0.0007320644216691069
0.007933359777865925,0.002134092121643251,0.004794246903715541
0.002145347278090641,0.0007967069446288673,0.0016233766233766235
0.0008424599831508003,0.0001149029070435482,0.0005715918833952558
0.0,0.0,0.0
0.00035790980672870435,0.0,0.0003544842254519674
0.00028392958546280523,0.00012277470841006753,0.000282326369282891
0.0,0.0,0.0
0.004231770833333333,0.0016139878950907868,0.0031635558367605187
0.00528169014084507,0.001510925151092515,0.0015232292460015233
0.0004233700254022015,0.00018261504747991235,0.00042408821034775233
0.002588159171789065,0.0010388839418224993,0.0009914077990746861
0.0005284015852047556,0.0,0.00025793139025019347
