doc,half1,half2
BA_2007Q2,0.0,0.0
BA_2007Q3,0.0,0.0
BA_2007Q4,0.0009930486593843098,0.0
BA_2008Q1,0.0012121212121212121,0.0
BA_2008Q2,0.0010126582278481013,0.0
BA_2009Q1,0.0,0.0
BA_2009Q2,0.0,0.0
BA_2009Q3,0.0,0.0
BA_2009Q4,0.0006385696040868455,0.0
BA_2010Q1,0.001049317943336831,0.0
BA_2010Q2,0.0010454783063251437,0.0
BA_2010Q4,0.0,0.0
BA_2011Q1,0.0010422094841063053,0.0
BA_2011Q2,0.000471253534401508,0.0
BA_2011Q3,0.0,0.0
BA_2011Q4,0.0011961722488038277,0.0
BA_2012Q1,0.0024937655860349127,0.0
BA_2012Q2,0.0014734774066797642,0.0
BA_2012Q3,0.0010899182561307902,0.0008064516129032258
BA_2012Q4,0.0007434944237918215,0.0013717421124828531
BA_2013Q1,0.002282236591860023,0.0013386880856760374
BA_2013Q2,0.0008396305625524769,0.0
BA_2013Q3,0.0008733624454148472,0.0
BA_2013Q4,0.0,0.0
BA_2014Q1,0.0,0.0
BA_2014Q2,0.002053388090349076,0.0
BA_2014Q3,0.0,0.0
BA_2014Q4,0.0007827788649706458,0.0018709073900841909
BA_2015Q1,0.0011587485515643105,0.0
BA_2015Q2,0.0,0.0
BA_2015Q3,0.0,0.0
BA_2015Q4,0.0003234152652005175,0.0
BA_2016Q1,0.0,0.0006720430107526882
BA_2016Q2,0.0,0.0007412898443291327
BA_2016Q3,0.0,0.0005546311702717693
BA_2016Q4,0.00032829940906106366,0.00046904315196998124
BA_2017Q1,0.0003952569169960474,0.0
BA_2017Q2,0.0,0.0
BA_2017Q3,0.0,0.0
BA_2017Q4,0.0003272251308900524,0.0
BA_2018Q1,0.0,0.0006501950585175553
BA_2018Q2,0.0,0.0
BA_2018Q3,0.0003652300949598247,0.00048756704046806434
BA_2018Q4,0.0003621876131836291,0.0
BA_2019Q1,0.0011057869517139699,0.0
BA_2019Q2,0.0,0.0
BA_2019Q3,0.0006521030322791001,0.0006381620931716656
BA_2019Q4,0.0,0.0
BA_2020Q1,0.0007074637424831977,0.0
BA_2020Q2,0.0018754688672168042,0.0005387931034482759
BA_2020Q3,0.0024263431542461003,0.0005720823798627002
BA_2020Q4,0.0038623595505617976,0.001288659793814433
BA_2021Q1,0.0012964563526361278,0.0008203445447087777
BA_2021Q2,0.0017655367231638418,0.0014194464158978
BA_2021Q3,0.0023847376788553257,0.0
BA_2021Q4,0.0034550839091806516,0.0
BA_2022Q1,0.0014360938247965534,0.0007867820613690008
BA_2022Q2,0.0,0.0
BA_2022Q3,0.0,0.0
BA_2022Q4,0.0,0.0014695077149155032
BA_2023Q1,0.0,0.001725625539257981
BA_2023Q2,0.0,0.0
BA_2023Q3,0.0004768717215069146,0.0
BA_2023Q4,0.0006195786864931846,0.0
BA_2024Q1,0.0007002801120448179,0.000945179584120983
BA_2024Q2,0.0,0.001059322033898305
BA_2024Q3,0.0,0.0
BA_2024Q4,0.0,0.0007604562737642585
CAT_2007Q1,0.001026167265264238,0.0
CAT_2007Q2,0.0,0.0
CAT_2007Q3,0.002205071664829107,0.0005875440658049354
CAT_2008Q1,0.0,0.0
CAT_2008Q2,0.0005042864346949068,0.0012674271229404308
CAT_2008Q3,0.001962708537782139,0.0
CAT_2008Q4,0.0005104645227156713,0.0
CAT_2009Q1,0.0009751340809361287,0.0006397952655150352
CAT_2009Q2,0.0006146281499692685,0.002099370188943317
CAT_2009Q3,0.0004957858205255329,0.0
CAT_2009Q4,0.0005858230814294083,0.0006075334143377885
CAT_2010Q1,0.0012953367875647669,0.0042765502494654314
CAT_2010Q2,0.0,0.0025974025974025974
CAT_2010Q3,0.0,0.0019292604501607716
CAT_2010Q4,0.0008368200836820083,0.0
CAT_2011Q1,0.001110494169905608,0.0
CAT_2011Q2,0.0008944543828264759,0.0
CAT_2011Q3,0.0,0.0
CAT_2011Q4,0.0,0.0
CAT_2012Q1,0.001095890410958904,0.00130718954248366
CAT_2012Q2,0.0016025641025641025,0.0006565988181221273
CAT_2012Q3,0.0,0.0006090133982947625
CAT_2012Q4,0.0,0.0
CAT_2013Q1,0.0006788866259334691,0.0007930214115781126
CAT_2013Q2,0.0015471892728210418,0.0
CAT_2013Q3,0.0,0.0
CAT_2013Q4,0.0011074197120708748,0.0014577259475218659
CAT_2014Q1,0.0013306719893546241,0.0033222591362126247
CAT_2014Q2,0.0011305822498586771,0.000628140703517588
CAT_2014Q3,0.002583979328165375,0.0013774104683195593
CAT_2014Q4,0.0011312217194570137,0.0
CAT_2015Q1,0.0006435006435006435,0.003404255319148936
CAT_2015Q2,0.004098360655737705,0.0007215007215007215
CAT_2015Q3,0.0017341040462427746,0.002243829468960359
CAT_2015Q4,0.0015360983102918587,0.0011363636363636363
CAT_2016Q1,0.0,0.002307692307692308
CAT_2016Q2,0.0,0.0014695077149155032
CAT_2016Q3,0.0015105740181268882,0.0010309278350515464
CAT_2016Q4,0.0006176652254478073,0.0033003300330033004
CAT_2017Q1,0.0,0.0
CAT_2017Q2,0.0004411116012351125,0.0007097232079489
CAT_2017Q3,0.0005431830526887561,0.0
CAT_2017Q4,0.0,0.0
CAT_2018Q1,0.0,0.0
CAT_2018Q2,0.0004553734061930783,0.0
CAT_2018Q3,0.00042826552462526765,0.0
CAT_2018Q4,0.0009037505648441031,0.0
CAT_2019Q1,0.0005125576627370579,0.0006729475100942127
CAT_2019Q2,0.0012942191544434857,0.0
CAT_2019Q3,0.0012815036309269544,0.0
CAT_2019Q4,0.0008485362749257531,0.0
